Ref.,Parameter,Deviation,Possible Cause,Consequence,Safeguard/Protection,No,Action,On
28,Services,Power loss,"Unpredicted failure, cut cable, and so on",Stirrer stops. Computer moves plant to a safe hold position,Computer has its own UPS,28.1,Include this condition in the check under 27.1,AW
,,,,,,28.2,Consider need for planned restart procedure after such an interruption,JH
29,Maintenance,Work on AV203,Valve problem on AV203 during the transfer,AV203 cannot be isolated from F2 for safe maintenance,None,29.1,Put additional manual valves in the F2/F3 line,FL
,,,,,,29.2,"As a general action, review the P&ID to ensure all key items can be isolated",FL
30,Vessel entry (F3),Other activity,Inspection or other requirement for entry to vessel,"Risk to operator from inert atmosphere, especially nitrogen",Spades installed on all lines,30.1,"Review the isolation of F3, including possible insertion of flexible section into the nitrogen line so it can be disconnected and blanked off. Need to cover F2 as well since it has its own nitrogen supply and is linked to F3",MS
31,Drainage,Leak of B,Leaking flange on transfer line from F2 to F3,Some loss of component B into process area,All spillages in this area run to a common sump,31.1,Check the materials in use on adjacent units for potential incompatibility,FL
,,,,,,31.2,Operating procedure to include a routine inspection of the transfer line at the stage of the process,TB
32,pH,High/low,Imbalance in quantities of A or caustic added previously,Batch quality affected unless initial pH is range 10—11.5,None,32.1,Operating procedure to include a check on pH before this step is initiated,TB
,,,,,,32.2,Consider need for a procedure for correction of pH,BT
33,Trip action,Out of range condition,Any,Control system moves the plant to a predetermined state based on the trip signals,,33.1,Prepare matrix to show which valves act in each trip scenario. Review the matrix at next HAZOP meeting,JH
34,Operator PPE,Exposure,Leakage or spillage,Contamination,Standard procedures,34.1,Confirm that procedures exist for all materials handled in the process,TB
