Safeguards ,,,,,,,,,,,
Atmospheric venting at Hot Water Tank T-200,T-200 is venting to atmosphere,"(Flow alarm Low) FAL-103, Low flow alarm FAL301, FAL-450101",PDI at F-100 as local indicator for operator,,,,,,,,
Vapor Condenser E-500 provided,Provide drain line at lowest point gas ducting E-300,Backup pump P0301B to start automatically,PSH for Local indicator at D-100A/B for operator,,,,,,,,
Double-valve provided at drain line of the individual equipments,Vent stack is equipped by dead leg to collect liquid and drain to Sump Tank V-400,Temperature interlock with cooling system (TIC301),SOP (Standard Operating Proccedure),,,,,,,,
Back up fuel gas filter available,1. Double containment zone,"Low pressure alarm PAL302, PAL-450142 ",PM & PdM by the maintenance team,,,,,,,,
Flame arrestor installed,Pressure gauge at discharge line of the truck unloading pump PU- MET/CAT-30-001 (PI 002008),  High-Pressure Alarm on TK-04,Monitoring logsheet (tank farm field data sheet FBD006),,,,,,,,
Water seal at bottom of vent stack to prevent air ingress to venting system,Excess Flow Check Valves,TSV(Thermal Safety Valve) in the downstream flow of export line PTW(Permit to work),SOP & WI (WBD025 &WBD027) for catalyst and methanol truck unloading procedures,,,,,,,,
Isolation valve,,Alarm on the pump,Restricted area,,,,,,,,
PAVs (Pressure Aging Vessel) provided in the system,,Open the minimum flow FV-450101 for the pump,,,,,,,,,
Inter Horton Sphere to Bullet and LPG transfer.,,UV-450101,,,,,,,,,
Dispersion of vapour from the pump suction line to a safe height (flare line),,LSH1 Gas detector,,,,,,,,,
Vapour extraction unit with suction point at various places.,,Signal and alarm of waste liquid excess,,,,,,,,,
 Provision of bypass line with Differential Pressure Valve and carousal return line,,Cooling-water flow monitoring and automatic operation to stop cooling-water supply.,,,,,,,,,
Pump with double mechanical seal,,Emergency cooling-water system once cooling-water system fails,,,,,,,,,
Quick connect dry break coupling and braided stainless steel hose,,Hydrogen concentration monitoring and alarm,,,,,,,,,
Fire Extinguisher at unloading station,,Pressure regulator (PV) at upstream facility to adjust discharge pressure,,,,,,,,,
Nitrogen blanketing system for each of daily tank,,(Pressure Indicator High)PIH-0103 set at 31 barG as high pressure alarm to alert operator,,,,,,,,,
Foam chamber,,(Pressure Indicator High High ) PIHH-0103 set at 33 barG to close (ShutDown Valve) SDV-0101,,,,,,,,,
,,(Pressure Safety Valve) PSV 0101A/B set at 34 barG is sized for fire case,,,,,,,,,
,,(Level indicator Low) LIL-0102 alarm to alert Operator,,,,,,,,,
,,(level Indicator Low Low) LILL-0102 to initiate shutdown of SDV-0102,,,,,,,,,
,,(Level Indicator High) LIH-0102 as high level alarm to alert Operator to open by pass line,,,,,,,,,
,,(Level Indicator High High) LIHH-0102 to initiate shutdown of SDV-0101,,,,,,,,,
,,(Pressure Indicator Low) PIL-0102 as low pressure alarm at incoming V-100 to alert operator,,,,,,,,,
,,(Pressure Indicator Low Low) PILL-0102 at incoming V-100 will initiate closure of SDV 0101,,,,,,,,,
,,"Fire and Gas Detector at V-100, Gas detector at cooling tower fan, Methanol gas detector in pump house (MCFA)",,,,,,,,,
,,(Pressure Switch High) PSH 0301A/B at 32 barG to close (Shut Down Valve) SDV-0101,,,,,,,,,
,,AIH (dew point alarm) at downstream of Dryer unit,,,,,,,,,
,,(Break-Down Valve) BDV position indication and alarm,,,,,,,,,
,,TTIH-0503/TTIH 0508/TTIH 0509 alarm will alert operator,,,,,,,,,
,,(Flow Transmitter) FT-0601A/B at M-200A/B displayed at control room,,,,,,,,,
,,(Flow indicator Low Low) FILL 0601 A/B set at 5 MMSCFD for alarm to alert operator,,,,,,,,,
,,Valve position indicator and alarm in control room,,,,,,,,,
,,(Temperature Transmitter) TT-0512 as temperature alarm to alert operator,,,,,,,,,
,,(Temperature Indicator Controller) TIC 0703 set at 85 deg C to control exhaust gas supply from compressor,,,,,,,,,
,,(Level Switch Low) LSL-0702 to shutdown P-500A/B,,,,,,,,,
,,(Temperature Indicator Alarm) TIA 0704 to alert operator,,,,,,,,,
,,"Temperature alarm at WHRU, E-100 and E-200",,,,,,,,,
,,Floating valve at T-600 to start/stop pump P-100,,,,,,,,,
,,Standby (Pressure Control Valve) PCV available,,,,,,,,,
,,"(Pressure Transmitter) PT-0902 as high pressure alarm to alert operator, PT-501 displayed in control room",,,,,,,,,
,,Auto start of standby compressor by (Pressure Switch Low Low) PSLL-0803,,,,,,,,,
,,Spare Air Dryer available,,,,,,,,,
,,(Pressure Alarm High High) PAHH-102 with closing action SDV-30010,,,,,,,,,
,,(Level Alarm High High) LAHH-103 with closing action of SDV-30010,,,,,,,,,
,,"(Relief Valve) RV on methanol pump is set to avoid overpressure of the methanol. Pump, pipeline and Ml 2"" 15 CS (this pump is on shore)",,,,,,,,,
,,"Level Transmitters provided (both H/S and bullets), The level transmitter at methanol and catalyst daily tank LIT002001/002002/002003/002004, The level transmitter LT16002 (dried methanol tank) in plant",,,,,,,,,
,,High Level Alarm provided on both H/S and bullets,,,,,,,,,
,, (Emergency Shut-Down systems) ESDs on Manual Intervention.,,,,,,,,,
,,Sprinklers based on Quartzoid Bulb (triggers at 79 DegC),,,,,,,,,
,,Fire Fighting System.,,,,,,,,,
,,High discharge pressure trip provided.,,,,,,,,,
,, Quick Shutoff with lock protection and ball valve provided with blind flange,,,,,,,,,
,,Pump's running status on PLC,,,,,,,,,
,,The level switch LALL16013 at dried methanol tank 160V2,,,,,,,,,
,,"Flowmeter of catalyst dosing to reactor (FT16304, FT16305, FT16306 & FT16314)",,,,,,,,,
,,Manual level indicator (pendulum) at methanol daily tanks,,,,,,,,,
,,Tank High High Level Alarm (LSHH002001/002002/002003/002004),,,,,,,,,
,,Pressure transmitter PIT002001/002002/002003/002004,,,,,,,,,
,,Pressure gauge on each tank,,,,,,,,,
,,Spray water (sprinklers) on the roof of tank,,,,,,,,,
,,Temperature transmitter TIT002001/002002/002003/002004,,,,,,,,,
,,Fire fighting system,,,,,,,,,
,,"Water sprinklers, activated by heat detection",,,,,,,,,
,,emergency vent,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
